ID,App_Name,Genre,Price,User_Rating,Total_Reviews,User_Review
153,Grim Soul: Dark Fantasy Survival,Role Playing,0,4.5,189773,Man this is the best game EVER  it's just so addicting! But there's a *downfall*  is there a way you can make it less *laggier* PLZ! It's JUST LAGG. And if you want your reviews to actually be seen by the company. Go to feedback for the app or something like that. Y did I write the review  idk
154,DRAGON BALL LEGENDS,Action,0,4.6,337752,Love this game! Its a great time killer  and the graphics are beautiful and relaxing. The only issue with this app is that  if you are playing online  it lags a lot.
155,Disney Heroes: Battle Mode,Strategy,0,4.6,102107,In-App Purchases are overpriced  but overall the gameplay was fun and kept me interested in the game.
156,Homescapes,Casual,0,4.6,3093358,My child plays this all the time and it keeps their attention for hours! Very fun and addicting.
157,New YAHTZEE With Buddies Dice Game,Board,0,4.1,42079,Great game. Only thing wrong is that on 3 occasions I've just randomly lost my progress. It's getting to be a joke. I emailed customer service a week ago and still have had nothing back.
158,Word Crossy - A crossword game,Word,0,4.5,240416,if you rate this app with one star even with two stars that means you are crazy. SORRY!! and the game work at a pizza place so nice and pretty i used play for years. and now i still use them more than my own apps. but the thing i am thinking about it the money. most things that we have to buy for things and the game why we have to buy money for it  it is just an game.
159,MLB TAP SPORTS BASEBALL 2018,Sports,0,4.6,32506,Keeps crashing on the first day every time I try to play. Super disappointed.
160,Hero Hunters,Action,0,4.4,70747,I've been thinking of getting into this game for a while now but I regret not getting into it sooner! It's fun!
161,Cooking Madness - A Chef's Restaurant Games,Arcade,0,4.7,358817,Had 4 phones and none of them got this damn game to work. im so fucking pissed. Im missing out so much.
162,Ice Crush 2018 - A new Puzzle Matching Adventure,Casual,0,4.6,15403,Fun but i wish there was a way to send gifts to friends and more cool things to spend your cash on
163,TerraGenesis - Space Colony,Simulation,0,4.3,38957,Not very good. You can’t play it for a long time. Gets boring
164,Merge Dragons!,Puzzle,0,4.5,214777,Crashed in first few seconds  was unable to play  do not download.
165,SHADOWGUN LEGENDS,Action,0,4.6,100609,The game ran smoothly on my device and kept me occupied for hours! Very Addicting!
166,RULES OF SURVIVAL,Action,0,4.2,1343866,The controls are more difficult than the last time I played this game  which was a year or so ago. The new customization is very cool
167,Mafia City,Strategy,0,4.5,168717,My child plays this all the time and it keeps their attention for hours! Very fun and addicting.
168,Cash  Inc. Money Clicker Game & Business Adventure,Simulation,0,4.8,549720,It is a fun game for all ages  minus the occasional restarting back to the beginning. It is really annoying especially when you are on a high level!
169,Dino War: Rise of Beasts,Strategy,0,4.1,18996,Glitches and lags. Not worth installing
170,Tokyo Ghoul: Dark War,Role Playing,0,4.3,25094,Keeps crashing on the first day every time I try to play. Super disappointed.
